symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
360ONE,stitched,1648.0,1579.0,69.0,2023-12-29,0.0,0.7725957807098061,False,
3MINDIA,stitched,4256.0,1579.0,2677.0,2023-12-29,0.0,1.9584880331570131,False,
AADHARHFC,kite_only,,494.0,,,,,,
AARTIDRUGS,gdf_only,,,,,,,,3672.0
AARTIIND,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.8474168231498824,False,
AARTIPHARM,gdf_only,,,,,,,,227.0
AAVAS,stitched,1881.0,1579.0,302.0,2023-12-29,0.0,-0.6006763919034763,False,
ABB,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.36957790313167926,False,
ABBOTINDIA,stitched,4053.0,1579.0,2474.0,2023-12-29,0.0,0.4932889755649983,False,
ABCAPITAL,stitched,2153.0,1579.0,574.0,2023-12-29,0.0,-1.1684518013632017,False,
ABDL,no_data,,,,,,,,
ABFRL,stitched,3167.0,1579.0,1588.0,2023-12-29,-24.31828341528832,-0.4017787834391884,True,
ABLBL,kite_only,,219.0,,,,,,
ABREL,kite_only,,1579.0,,,,,,
ABSLAMC,no_pre_history,,1136.0,,,0.0,,,
ACC,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.3839103517448983,False,
ACE,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-3.0303030303030276,False,
ACI,gdf_only,,,,,,,,276.0
ACMESOLAR,kite_only,,368.0,,,,,,
ACUTAAS,no_data,,,,,,,,
ADANIENSOL,stitched,2668.0,1579.0,1089.0,2023-12-29,0.0,0.7543753771876993,False,
ADANIENT,stitched,4258.0,1579.0,2679.0,2023-12-29,-3.05200161462994,-0.24315650692913193,False,
ADANIGREEN,stitched,1956.0,1579.0,377.0,2023-12-29,0.0,4.986482427155314,False,
ADANIPORTS,stitched,4253.0,1579.0,2674.0,2023-12-29,0.0,3.183060109289615,False,
ADANIPOWER,stitched,4146.0,1579.0,2567.0,2023-12-29,0.019042178425210388,3.54015424924794,False,
ADVENZYMES,gdf_only,,,,,,,,1837.0
AEGISLOG,kite_only,,1579.0,,,,,,
AEGISVOPAK,kite_only,,234.0,,,,,,
AEQUS,no_data,,,,,,,,
AETHER,gdf_only,,,,,,,,391.0
AFCONS,kite_only,,375.0,,,,,,
AFFLE,stitched,1674.0,1579.0,95.0,2023-12-29,0.0,1.9065987921712546,False,
AGARWALEYE,kite_only,,311.0,,,,,,
AHLUCONT,gdf_only,,,,,,,,3482.0
AIAENG,stitched,4255.0,1579.0,2676.0,2023-12-29,0.0,-1.630797211276147,False,
AIIL,kite_only,,509.0,,,,,,
AJANTPHARM,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.4001847006310566,False,
AKUMS,kite_only,,437.0,,,,,,
AKZOINDIA,stitched,4242.0,1564.0,2678.0,2023-12-29,0.0,2.1916140324176103,False,
ALIVUS,no_data,,,,,,,,
ALKEM,stitched,2571.0,1579.0,992.0,2023-12-29,0.0,3.423705248522757,False,
ALKYLAMINE,stitched,4123.0,1579.0,2544.0,2023-12-29,0.0,1.417050691244226,False,
ALOKINDS,no_pre_history,,1543.0,,,0.0,,,
AMBER,stitched,2050.0,1579.0,471.0,2023-12-29,0.0,2.8957615360515554,False,
AMBUJACEM,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.3821656050955413,False,
ANANDRATHI,no_pre_history,,1093.0,,,0.0,,,
ANANTRAJ,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,-40.73529411764706,False,
ANGELONE,no_pre_history,,1389.0,,,0.0,,,
ANTHEM,no_data,,,,,,,,
ANUP,gdf_only,,,,,,,,1196.0
ANURAS,gdf_only,,,,,,,,686.0
APARINDS,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.012827090815803466,False,
APLAPOLLO,stitched,3561.0,1579.0,1982.0,2023-12-29,0.0,0.788198327741374,False,
APLLTD,stitched,3627.0,1579.0,2048.0,2023-12-29,0.0,-3.605811307544182,False,
APOLLO,gdf_only,,,,,,,,1470.0
APOLLOHOSP,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.085298196948692,False,
APOLLOTYRE,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.3355704697986628,False,
APTUS,no_pre_history,,1169.0,,,0.0,,,
ARE&M,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.4762890867674563,False,
ARVIND,gdf_only,,,,,,,,3673.0
ARVINDFASN,gdf_only,,,,,,,,1192.0
ASAHIINDIA,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.5512402906539648,False,
ASHAPURMIN,gdf_only,,,,,,,,3672.0
ASHOKA,gdf_only,,,,,,,,3273.0
ASHOKLEY,stitched,4258.0,1579.0,2679.0,2023-12-29,-2.7318792685613658,-4.003251603221026,False,
ASIANPAINT,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.4621978206672539,False,
ASKAUTOLTD,gdf_only,,,,,,,,31.0
ASTERDM,stitched,2032.0,1579.0,453.0,2023-12-29,0.0,1.2130637636080799,False,
ASTRAL,stitched,4255.0,1579.0,2676.0,2023-12-29,0.0,-0.35649008323137554,False,
ASTRAMICRO,gdf_only,,,,,,,,3673.0
ASTRAZEN,stitched,4252.0,1579.0,2673.0,2023-12-29,0.0,0.0840785752503459,False,
ATGL,stitched,1862.0,1579.0,283.0,2023-12-29,0.0,8.696988322065158,False,
ATHERENERG,kite_only,,253.0,,,,,,
ATLANTAELE,no_data,,,,,,,,
ATUL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.24686481682629768,False,
AUBANK,stitched,2190.0,1579.0,611.0,2023-12-29,0.0,-0.6723944714232322,False,
AURIONPRO,gdf_only,,,,,,,,3559.0
AUROPHARMA,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.27361278318922544,False,
AVALON,gdf_only,,,,,,,,176.0
AVANTIFEED,gdf_only,,,,,,,,2158.0
AVL,no_data,,,,,,,,
AWFIS,no_data,,,,,,,,
AWL,no_pre_history,,983.0,,,0.0,,,
AXISBANK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.7160853998143479,False,
AXISCADES,gdf_only,,,,,,,,3648.0
AZAD,gdf_only,,,,,,,,2.0
