date,open,high,low,close,volume
2018-11-05,72.0,75.6,72.0,75.6,1636701
2018-11-06,77.0,79.35,75.7,78.1,2528961
2018-11-07,79.4,82.0,78.5,81.3,488994
2018-11-09,84.0,84.0,77.25,79.95,1926334
2018-11-12,79.8,79.8,76.0,76.0,1494059
2018-11-13,72.5,78.0,72.5,76.95,915107
2018-11-14,77.05,78.65,75.5,78.3,640666
2018-11-15,79.0,80.0,75.5,79.4,662627
2018-11-16,79.4,79.75,77.5,78.85,445033
2018-11-19,78.45,78.95,77.2,77.8,1332624
2018-11-20,81.0,88.5,80.1,80.9,3819027
2018-11-21,81.9,97.05,81.7,97.05,7785820
2018-11-22,106.55,115.4,105.0,111.55,17594460
2018-11-26,114.1,114.7,102.0,104.1,7818868
2018-11-27,100.5,105.25,98.25,101.05,4647882
2018-11-28,101.45,102.6,94.1,99.0,4517227
2018-11-29,99.9,101.7,98.1,99.45,2006532
2018-11-30,99.1,101.4,97.65,98.75,1745738
2018-12-03,99.0,99.75,96.3,97.5,1065560
2018-12-04,97.5,97.85,95.2,96.2,1044937
2018-12-05,95.15,105.8,94.2,105.35,6794511
2018-12-06,103.95,110.7,103.15,104.3,4175920
2018-12-07,105.0,108.5,99.25,100.15,1674014
2018-12-10,95.1,98.0,94.0,94.85,965256
2018-12-11,91.0,98.7,91.0,96.15,1521664
2018-12-12,97.7,101.95,97.5,98.05,1142024
2018-12-13,99.6,101.9,98.5,98.95,966517
2018-12-14,99.75,100.8,98.1,98.85,513487
2018-12-17,99.55,100.8,98.75,99.7,584085
2018-12-18,99.1,108.4,98.4,106.25,3127798
2018-12-19,108.45,108.45,102.55,103.0,1107432
2018-12-20,102.05,104.75,101.55,102.8,657144
2018-12-21,103.65,103.9,99.4,99.65,763820
2018-12-24,100.7,101.15,98.05,98.3,415118
2018-12-26,97.85,103.2,96.5,100.5,1298911
2018-12-27,101.25,102.3,99.65,100.1,455898
2018-12-28,100.65,102.75,100.35,101.2,618916
2019-01-01,101.25,103.5,100.55,101.85,501670
2019-01-02,101.25,102.55,99.4,100.45,379628
2019-01-03,102.3,103.2,100.75,100.85,560741
2019-01-04,101.0,101.75,99.85,100.85,360516
2019-01-07,101.5,103.0,100.5,101.65,787978
2019-01-08,101.65,101.9,100.25,101.1,385585
2019-01-09,101.5,102.75,99.9,101.25,563962
2019-01-10,101.45,101.7,99.75,100.4,336970
2019-01-11,100.5,101.6,98.35,99.0,533121
2019-01-14,99.05,100.2,97.5,98.05,457526
2019-01-15,98.7,99.2,97.75,98.4,341359
2019-01-16,98.5,100.4,98.2,99.05,363370
2019-01-17,99.5,101.0,97.8,98.5,509916
2019-01-18,99.1,99.5,97.0,98.6,378266
2019-01-21,98.8,98.8,97.0,97.75,440885
2019-01-22,97.75,98.4,95.3,96.9,462224
2019-01-23,96.9,97.45,95.8,96.8,323343
