date,open,high,low,close,volume
2015-09-18,311.6,311.6,303.0,306.31,84855
2015-09-21,305.98,312.0,297.2,301.89,119515
2015-09-22,305.0,308.0,288.39,291.21,103865
2015-09-23,291.22,294.39,282.52,287.66,148770
2015-09-24,284.0,301.6,284.0,293.97,108405
2015-09-28,298.98,298.98,288.42,291.0,55365
2015-09-29,288.8,294.0,285.02,290.53,58190
2015-09-30,292.79,292.79,286.0,288.45,56805
2015-10-01,288.45,293.99,287.28,288.49,55130
2015-10-05,291.99,303.0,288.22,294.85,143715
2015-10-06,294.0,308.61,292.0,302.82,264935
2015-10-07,301.22,310.0,298.25,300.8,98840
2015-10-08,299.02,303.06,271.53,274.78,425545
2015-10-09,276.0,280.01,270.6,274.47,166975
2015-10-12,275.4,276.45,264.0,272.28,104250
2015-10-13,271.61,271.61,264.12,265.77,52340
2015-10-14,266.41,274.97,264.42,270.72,101810
2015-10-15,271.0,273.0,266.39,267.15,59635
2015-10-16,267.95,274.0,265.0,271.93,87415
2015-10-19,270.75,277.59,266.0,267.2,76120
2015-10-20,268.27,273.0,267.2,270.52,35380
2015-10-21,272.79,277.0,270.52,271.99,45515
2015-10-23,275.0,275.0,266.04,269.71,32245
2015-10-26,272.6,272.6,264.0,265.5,35470
2015-10-27,268.0,268.0,263.49,264.19,31120
2015-10-28,264.23,267.0,259.92,264.71,46455
2015-10-29,264.71,275.4,262.05,263.69,75750
2015-10-30,266.0,267.14,253.0,255.34,65870
2015-11-02,252.2,255.6,244.6,249.04,61570
2015-11-03,251.53,253.49,248.0,250.19,54845
2015-11-04,251.4,266.0,249.1,259.92,247710
2015-11-05,260.79,269.0,256.1,259.38,170740
2015-11-06,270.02,277.79,262.79,265.99,382035
2015-11-09,256.4,270.0,253.25,265.12,103345
2015-11-10,269.8,269.8,259.67,261.44,47735
2015-11-11,262.64,266.19,252.41,262.71,8910
2015-11-13,261.6,263.6,256.0,259.42,43285
2015-11-16,259.2,261.0,254.4,256.69,34455
2015-11-17,258.03,260.0,256.08,257.94,23310
2015-11-18,259.71,260.0,254.24,259.33,88535
2015-11-19,264.64,274.6,254.19,263.43,141235
2015-11-20,263.48,269.59,262.0,266.7,63775
2015-11-23,268.7,286.8,265.0,280.61,276300
2015-11-24,280.6,299.99,280.2,297.33,309425
2015-11-26,293.8,306.4,290.0,297.37,196070
2015-11-27,297.99,299.78,287.01,288.45,46595
